sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Dist. to Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Profile 1;Profile 2;Profile 3
54,015;3226;;60s;Yes;No;3;0,48651;0,77667;0,11323;0,44343;1,94695;RandomCounterOfferNegotiationParty@1112293378;RandomCounterOfferNegotiationParty@1956925123;Agent11_Go@163144393;0.7766666666666667;0.4865123095051469;0.6837667359567643;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,007;4282;;60s;Yes;No;3;0,59753;0,75500;0,13639;0,30742;1,99971;RandomCounterOfferNegotiationParty@101260165;Agent11_Go@1289235852;RandomCounterOfferNegotiationParty@76966334;0.755;0.6471792170691382;0.5975269903474502;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,005;3950;;60s;Yes;No;3;0,30777;0,69917;0,19801;0,62771;1,68905;Agent11_Go@1388570820;RandomCounterOfferNegotiationParty@736463682;RandomCounterOfferNegotiationParty@1796845713;0.6991666666666666;0.30777044132527986;0.6821095341056214;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,011;3845;;60s;Yes;No;3;0,62369;0,65173;0,19855;0,34363;1,91626;Agent11_Go@197729075;RandomCounterOfferNegotiationParty@1075361616;RandomCounterOfferNegotiationParty@380306960;0.6408333333333334;0.6236892809079322;0.6517343960852154;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,014;4413;;60s;Yes;No;3;0,64083;0,84029;0,05714;0,33004;2,13932;RandomCounterOfferNegotiationParty@1175604937;Agent11_Go@420813892;RandomCounterOfferNegotiationParty@955433273;0.6408333333333334;0.6581915776086297;0.8402907127524707;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,020;3565;;60s;Yes;No;3;0,52990;0,77662;0,19137;0,46402;1,86152;RandomCounterOfferNegotiationParty@1440412106;RandomCounterOfferNegotiationParty@423112911;Agent11_Go@947112054;0.5549999999999999;0.5298973063208431;0.7766186419125161;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,009;3353;;60s;Yes;No;3;0,64466;0,89239;0,00000;0,35604;2,19705;RandomCounterOfferNegotiationParty@365123849;RandomCounterOfferNegotiationParty@1275750664;Agent11_Go@1100043295;0.66;0.6446550651737297;0.8923915946596613;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;4111;;60s;Yes;No;3;0,60621;0,65000;0,19541;0,35737;1,89921;RandomCounterOfferNegotiationParty@1829981704;Agent11_Go@133006387;RandomCounterOfferNegotiationParty@1939461800;0.65;0.6062098117222936;0.6429982469396113;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,012;3780;;60s;Yes;No;3;0,43124;0,76917;0,14673;0,50433;1,83580;Agent11_Go@1551812790;RandomCounterOfferNegotiationParty@128668715;RandomCounterOfferNegotiationParty@19060476;0.7691666666666667;0.431244117335396;0.6353843990926624;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,017;3877;;60s;Yes;No;3;0,59308;0,73497;0,16601;0,36235;1,97722;Agent11_Go@219285057;RandomCounterOfferNegotiationParty@442014747;RandomCounterOfferNegotiationParty@795917856;0.6491666666666666;0.5930844973459541;0.7349657560022422;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,008;4311;;60s;Yes;No;3;0,60866;0,69512;0,17694;0,27402;1,99545;RandomCounterOfferNegotiationParty@398301121;Agent11_Go@1855099271;RandomCounterOfferNegotiationParty@1485860551;0.6916666666666667;0.6951237544241796;0.6086610774364992;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,015;3347;;60s;Yes;No;3;0,43167;0,76804;0,24103;0,54350;1,71839;RandomCounterOfferNegotiationParty@787417247;RandomCounterOfferNegotiationParty@1327437515;Agent11_Go@462458998;0.43166666666666664;0.5186743042460857;0.7680447692623086;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,009;3326;;60s;Yes;No;3;0,50013;0,73449;0,22773;0,48344;1,79629;RandomCounterOfferNegotiationParty@851085511;RandomCounterOfferNegotiationParty@1953094357;Agent11_Go@2113525462;0.5616666666666666;0.5001321729834339;0.7344887022542083;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,009;4285;;60s;Yes;No;3;0,62833;0,81228;0,08863;0,32045;2,10614;RandomCounterOfferNegotiationParty@225847172;Agent11_Go@356261281;RandomCounterOfferNegotiationParty@498941931;0.6283333333333333;0.6655263482550908;0.8122838566115236;party1_utility.xml;party2_utility.xml;party3_utility.xml
54,002;3845;;60s;Yes;No;3;0,37186;0,66750;0,28729;0,59639;1,57827;Agent11_Go@1200828744;RandomCounterOfferNegotiationParty@277385902;RandomCounterOfferNegotiationParty@1985340924;0.6675000000000001;0.3718572140215897;0.5389146795446299;party1_utility.xml;party2_utility.xml;party3_utility.xml
